Project	Description	Start date	Category	Responsible	Savings amount	Currency	Complexity
2	Harmonize Lactobacillus acidophilus sourcing	2014-01-01 00:00:00.000	Dairy	Daisy Milks	NULL	NULL	Simple
3	Substitute Crème fraîche with evaporated milk in ice-cream products	2013-01-01 00:00:00.000	Dairy	Daisy Milks	141415.942696	EUR	Moderate
3	Substitute Crème fraîche with evaporated milk in ice-cream products	2013-01-01 00:00:00.000	Dairy	Daisy Milks	141415.942696	EUR	Moderate
4	Decrease production related non-categorized side costs	2013-01-01 00:00:00.000	Dairy	Daisy Milks	11689.322459	EUR	Hazardous
4	Decrease production related non-categorized side costs	2013-01-01 00:00:00.000	Dairy	Daisy Milks	11689.322459	EUR	Hazardous
5	Stop using Kryptonite in production	2013-04-01 00:00:00.000	Dairy	Clark Kent	NULL	NULL	Moderate
6	Black and white logo paper	2012-06-01 00:00:00.000	Office supplies	Clark Kent	4880.199567	EUR	Simple
6	Black and white logo paper	2012-06-01 00:00:00.000	Office supplies	Clark Kent	4880.199567	EUR	Simple
12332	Dairy	1-2-2020	dairy	milk	123	23	
123	ttete	343343''	fdffd	fdfddf	dfddfdf	ddffddf	dfdfdffd
121	sd	01/01/0001 0.00.00	cdds	dsds	dsds	dsdsd	dsds
1221	dsads	2020-12-12 12:12:12.000	dfd	dffd	1212	1212	Simple
1221	dssd	2020-03-03 12:12:12.000	dsds	dssd	12	21	Simple
1221	sasa	2020-02-02 12:12:12.000	ddsds	sdds			Simple
1221	ssaas	2020-02-03 12:12:12.000	assa	assa	12	12.12	Simple
2121	sdds	12/12/2020 12.12.12					simple
12	21	02/02/2020 12.12.12	12	21	12	23.23	simple
